pair_name,left_name,right_name,left_algo,right_algo,left_checkpoint,right_checkpoint,is_sp,mean_return,std_return,mean_shaped_return,std_shaped_return,mean_length,num_episodes,gif_path
L0_ippo_latest__R0_ippo_latest,ippo_latest,ippo_latest,ippo_rnn_overcooked_v2,ippo_rnn_overcooked_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,True,0.0,0.0,0.0,0.0,400.0,1,
L0_ippo_latest__R1_mappo_v2_latest,ippo_latest,mappo_v2_latest,ippo_rnn_overcooked_v2,mappo_rnn_overcooked_v2_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,False,-160.0,0.0,0.0,0.0,400.0,1,
L1_mappo_v2_latest__R0_ippo_latest,mappo_v2_latest,ippo_latest,mappo_rnn_overcooked_v2_v2,ippo_rnn_overcooked_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,False,-20.0,0.0,0.0,0.0,400.0,1,
L1_mappo_v2_latest__R1_mappo_v2_latest,mappo_v2_latest,mappo_v2_latest,mappo_rnn_overcooked_v2_v2,mappo_rnn_overcooked_v2_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,True,180.0,0.0,0.0,0.0,400.0,1,
