pair_name,left_name,right_name,left_algo,right_algo,left_checkpoint,right_checkpoint,is_sp,mean_return,std_return,mean_shaped_return,std_shaped_return,mean_length,num_episodes,gif_path
L0_ippo_latest__R0_ippo_latest,ippo_latest,ippo_latest,ippo_rnn_overcooked_v2,ippo_rnn_overcooked_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,True,131.0,64.89221833163049,0.0,0.0,400.0,100,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/TARL/sp_xp_outputs/grounded_coord_simple_20260316_185913/gifs/single/L0_ippo_latest__R0_ippo_latest.gif
L0_ippo_latest__R1_mappo_v2_latest,ippo_latest,mappo_v2_latest,ippo_rnn_overcooked_v2,mappo_rnn_overcooked_v2_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,False,-114.4,56.78591374628042,0.0,0.0,400.0,100,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/TARL/sp_xp_outputs/grounded_coord_simple_20260316_185913/gifs/single/L0_ippo_latest__R1_mappo_v2_latest.gif
L1_mappo_v2_latest__R0_ippo_latest,mappo_v2_latest,ippo_latest,mappo_rnn_overcooked_v2_v2,ippo_rnn_overcooked_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/ippo_rnn_overcooked_v2/overcooked_v2/grounded_coord_simple_seed0_vmap0_rng928981903/ippo_rnn_overcooked_v2_best.safetensors,False,-11.0,34.45286635390443,0.0,0.0,400.0,100,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/TARL/sp_xp_outputs/grounded_coord_simple_20260316_185913/gifs/single/L1_mappo_v2_latest__R0_ippo_latest.gif
L1_mappo_v2_latest__R1_mappo_v2_latest,mappo_v2_latest,mappo_v2_latest,mappo_rnn_overcooked_v2_v2,mappo_rnn_overcooked_v2_v2,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/checkpoints/mappo_rnn_overcooked_v2_v2/overcooked_v2/grounded_coord_simple_obs_concat_seed0_vmap0_rng928981903/mappo_rnn_overcooked_v2_v2_best.safetensors,True,179.6,2.8000000000000003,0.0,0.0,400.0,100,/teams/ius_1663576043/hby/rl/JaxMARL/baselines/TARL/sp_xp_outputs/grounded_coord_simple_20260316_185913/gifs/single/L1_mappo_v2_latest__R1_mappo_v2_latest.gif
